Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
Agar Agar,Various/Gelling and binding agents,per 100g edible portion,160,0.2,n.d.,n.d.,n.d.,n.d.,0,n.d.,n.d.,74.1,2.4,0.3,n.d.,20.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,52,130,n.d.,660,100,34,4.5,n.d.,1.5,n.d.
Agave syrup,Sweets/Sugar and sweeteners,per 100g edible portion,293,0,0,n.d.,n.d.,n.d.,73.1,n.d.,n.d.,0,0.2,0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Almond,"Nuts, seeds and oleaginous fruit",per 100g edible portion,624,52.1,4.1,31.4,11.4,0,7.8,6.6,0.6,10.6,25.6,0,0,3.3,0,0,0,0,0,0.15,0.94,0.13,0,1.88,55.9,0.48,<0.5,0,25.44,740,1.1,40,270,240,510,3.3,0.2,3.3,2.2
"Almond drink, plain",Milk and dairy products/Milk substitutes,per 100ml food volume,33,2.6,0.2,1.6,0.5,0,1.3,1.3,0,0.3,1.1,0.1,0,94.5,0,0,tr.,0,tr.,0.01,0.02,0,0,0.16,1.9,0.02,tr.,0,0.86,34,36,69,12,9.5,16,0.1,0.4,0.1,0.2
"Almond drink, plain, with calcium and vitamin fortified",Milk and dairy products/Milk substitutes,per 100ml food volume,33,2.6,0.2,1.6,0.5,0,1.3,1.3,0,0.3,1.1,0.1,0,94.5,0,0,tr.,n.d.,tr.,0.01,0.21,0,0.38,0.16,1.9,0.02,tr.,0.8,1.8,34,36,69,120,9.5,43,0.1,0.4,0.1,0.2
"Almond, dry roasted, salted","Savoury snacks/Salted nuts, seeds and kernels",per 100g edible portion,637,52.5,4.1,33.1,13,0,10.1,4.9,0.7,10.9,25.4,0.6,0,2.4,0,0,0,1,1,0.08,1.2,0.14,0,3.64,55,0.32,0,0,23.9,710,230,1190,270,280,470,3.7,2.4,3.3,2
"Almond, roasted, salted","Savoury snacks/Salted nuts, seeds and kernels",per 100g edible portion,649,55.2,4.2,34.8,13.5,0,7.2,4.6,0.6,10.5,25.6,0.8,0,2.8,0,0,0,1,1,0.09,0.78,0.12,0,3.67,27,0.23,0,0,25.97,670,330,1190,240,270,470,3.3,2.4,3.1,2
"Amaranth, seed, cooked (without addition of fat and salt)","Cereal products, pulses and potatoes/Other cereal products",per 100g edible portion,119,2.1,0.4,0.5,0.8,0,18.1,0.5,17.6,3.5,5,0,0,71.2,0,0,0,0,0,0.02,0.06,0.11,0,0.34,16.2,0.27,1,0,0.4,150,1.9,36,58,84,180,3,0.8,1.2,n.d.
"Amaranth, seed, raw","Cereal products, pulses and potatoes/Other cereal products",per 100g edible portion,376,7,1.5,1.7,2.8,0,56.8,1.7,55.1,11,15.8,0,0,11.1,0,0,0,0,0,0.08,0.19,0.53,0,1.2,64.3,0.95,4.2,0,1.19,480,4,110,160,250,560,9,2.5,3.7,n.d.
Amaretti (Almond cookie),Sweets/Cookies/Biscuits,per 100g edible portion,464,13,1,7.8,2.8,0,76.7,76.4,0.1,2.6,8.8,0.1,0,0,0,0,0,0,0,0.04,0.31,0.04,0.07,0.48,15,0.17,0.1,0,6.33,220,42,47,69,62,130,0.9,1.7,0.8,3.2
Anchovis paste,Various/Spreads,per 100g edible portion,272,21.3,4,13.8,2.1,57,0.2,0.1,0,0,19.8,19,0,58.7,11,10,9,13,13,0.03,0.19,0.28,15.68,2.93,12,0.47,0.4,1.3,5.19,190,7720,6000,220,170,210,2.1,25,1.3,n.d.
"Appenzeller, at least 15% fidm",Milk and dairy products/Hard cheese,per 100g edible portion,235,11.4,6.8,2.7,0.5,34,0,0,0,0,33.1,2,0,48.2,141,136,130,68,68,0.04,0.5,0.07,1.3,0.1,15,0.54,tr.,0.3,0.36,120,810,1240,1090,36,730,0.2,35,2.5,n.d.
"Appenzeller, at least 45% fidm",Milk and dairy products/Hard cheese,per 100g edible portion,384,31.7,19,7.4,1.5,95,0,0,0,0,24.3,1.6,0,39.6,382,366,350,190,190,0.04,0.36,0.07,1.06,0.1,15,0.33,tr.,0.5,0.95,82,620,960,740,29,540,0.3,8.4,4,n.d.
Apple juice,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,per 100ml food volume,50,0.1,0,0,0,0,11.9,11.3,0,0.2,0.2,0,0,91.9,1,1,0,7,7,0.01,tr.,0.04,0,0.04,7,0.05,7.4,0,0,120,14,2,4.5,4.7,6.9,0.3,1,tr.,0.1
"Apple pie, home-made, baked (with cake dough)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,147,6.6,3,2.5,0.8,18,18.5,9.4,9,1.3,2.6,0.2,0,71,11,9,8,15,15,0.03,0.04,0.05,0.08,0.1,5.3,0.21,3.9,0.1,0.67,120,89,180,18,10,43,0.4,3.4,0.3,1.8
"Apple pie, home-made, baked (with puff pastry)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,145,6.8,3,2.6,0.8,18,17.8,9.4,8.3,1.3,2.4,0.3,0,71.8,11,9,8,15,15,0.03,0.04,0.04,0.08,0.1,4.8,0.2,3.9,0.1,0.71,110,110,210,17,7.5,35,0.2,3.4,0.2,1.8
